City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,Amherst,41.3978,-82.2224,66.47,63,40,3.0,US,2021-09-27 12:32:16
215,Rio Pomba,-21.2747,-43.1792,81.73,56,20,4.18,BR,2021-09-27 12:32:17
216,Sola,-13.8833,167.55,75.87,94,90,0.0,VU,2021-09-27 12:32:19
217,Cap Malheureux,-19.9842,57.6142,77.49,68,0,14.0,MU,2021-09-27 12:32:19
218,Kapaa,22.0752,-159.319,75.52,84,75,1.01,US,2021-09-27 12:32:21
219,Sisimiut,66.9395,-53.6735,28.99,44,0,8.01,GL,2021-09-27 12:32:22
220,Broome,42.2506,-75.833,58.19,78,90,1.01,US,2021-09-27 12:23:52
221,Talnakh,69.4865,88.3972,32.74,60,8,6.82,RU,2021-09-27 12:32:24
222,Kavaratti,10.5669,72.642,81.97,78,100,19.55,IN,2021-09-27 12:32:26
223,Biggar,55.6167,-3.5167,56.08,81,78,14.97,GB,2021-09-27 12:32:26
224,Shanghai,31.2222,121.4581,80.46,79,0,8.95,CN,2021-09-27 12:28:27
225,Rorvik,64.8621,11.2373,64.51,45,0,14.97,NO,2021-09-27 12:32:27
226,Pingliang,35.5392,106.6861,58.3,95,100,0.76,CN,2021-09-27 12:32:29
227,Sitka,57.0531,-135.33,49.89,81,90,0.0,US,2021-09-27 12:32:29
228,La Ronge,55.1001,-105.2842,52.05,87,20,4.61,CA,2021-09-27 12:32:31
229,Codrington,-38.2667,141.9667,50.67,78,100,6.64,AU,2021-09-27 12:32:32
230,Toamasina,-18.1667,49.3833,78.8,69,75,11.5,MG,2021-09-27 12:32:32
231,Los Llanos De Aridane,28.6585,-17.9182,74.95,69,20,14.97,ES,2021-09-27 12:23:41
232,Andenes,69.3143,16.1194,62.47,67,0,9.22,NO,2021-09-27 12:32:34
233,Sechura,-5.5569,-80.8222,65.79,77,100,7.02,PE,2021-09-27 12:32:36
234,Kamina,-8.7386,24.9906,89.69,26,100,4.63,CD,2021-09-27 12:32:37
235,Astanajapura,-6.8017,108.6311,79.63,76,91,10.6,ID,2021-09-27 12:32:39
236,Omsukchan,62.5333,155.8,30.24,79,100,2.95,RU,2021-09-27 12:32:39
237,Konevo,62.1215,39.3192,50.74,78,98,5.66,RU,2021-09-27 12:32:41
238,Buala,-8.145,159.5921,78.71,85,100,3.78,SB,2021-09-27 12:32:42
239,Vincennes,48.85,2.4333,62.31,92,90,1.99,FR,2021-09-27 12:32:43
240,Payakumbuh,-0.2202,100.6308,72.77,98,100,0.76,ID,2021-09-27 12:32:45
241,Ixtapa,20.7,-105.2,76.23,94,40,5.75,MX,2021-09-27 12:32:45
242,Najran,17.4924,44.1277,93.85,10,8,11.99,SA,2021-09-27 12:32:46
243,Japura,-0.3167,102.35,76.62,93,94,2.24,ID,2021-09-27 12:24:38
244,Kalabo,-14.97,22.6814,98.6,7,89,4.68,ZM,2021-09-27 12:32:47
245,Kandrian,-6.2167,149.55,77.72,90,99,4.92,PG,2021-09-27 12:32:49
246,Lasa,46.6166,10.7002,72.48,51,77,1.7,IT,2021-09-27 12:32:50
247,Saskylakh,71.9167,114.0833,28.99,92,70,13.27,RU,2021-09-27 12:23:02
248,Lata,40.1629,-8.3327,78.49,51,95,5.79,PT,2021-09-27 12:32:52
249,Paamiut,61.994,-49.6678,32.76,41,0,6.22,GL,2021-09-27 12:32:53
250,Dingle,10.9995,122.6711,76.8,92,99,2.98,PH,2021-09-27 12:32:55
251,Wajima,37.4,136.9,70.81,73,100,6.58,JP,2021-09-27 12:31:21
252,Bombay,19.0144,72.8479,80.58,94,75,6.91,IN,2021-09-27 12:30:21
253,Aksu,41.1231,80.2644,74.53,21,0,1.88,CN,2021-09-27 12:32:56
254,Arraial Do Cabo,-22.9661,-42.0278,76.96,73,75,14.97,BR,2021-09-27 12:23:48
255,Honiara,-9.4333,159.95,78.69,87,100,5.84,SB,2021-09-27 12:28:42
256,Dubbo,-32.25,148.6167,57.33,62,100,13.8,AU,2021-09-27 12:32:57
257,Bubaque,11.2833,-15.8333,83.1,76,100,4.14,GW,2021-09-27 12:32:57
258,Benghazi,32.1167,20.0667,78.55,56,5,11.43,LY,2021-09-27 12:32:59
259,Coahuayana,18.7333,-103.6833,78.28,93,100,3.62,MX,2021-09-27 12:33:00
260,Port Lincoln,-34.7333,135.8667,61.97,63,100,16.2,AU,2021-09-27 12:33:01
